Game ID,Player 1,Player 2,Player 3,Player 4,P1_P2,P1_P3,P1_P4,P2_P3,P2_P4,P3_P4
201,400,200,801,100,5,5,5,5,5,5
202,101,501,500,300,5,5,5,1,5,5
203,603,202,102,502,5,5,5,5,5,5
204,103,203,604,403,5,5,5,5,5,5
205,605,204,304,504,5,5,5,5,5,5
206,606,105,705,405,5,5,5,5,5,5
207,607,506,206,706,5,5,5,5,5,5
208,306,707,607,107,5,5,5,5,5,5
209,508,308,408,708,5,4,5,4,5,5
210,810,709,209,109,5,5,5,5,5,5
211,611,410,310,510,4,5,5,4,5,5
212,511,612,311,111,5,4,4,5,4,4
213,512,713,213,412,4,4,4,4,4,4
214,614,312,813,814,4,4,5,4,4,4
215,414,314,714,815,5,4,5,4,5,4
216,115,114,514,515,4,4,4,4,4,4
217,116,618,617,817,5,4,4,4,4,4
218,716,317,717,818,4,4,4,3,4,3
219,418,318,218,619,4,3,3,4,3,4
220,620,119,219,519,3,4,4,3,4,3
221,621,521,520,621,3,3,3,3,3,3
222,622,822,121,321,3,3,3,3,3,3
223,322,823,422,722,3,3,3,3,5,3
224,223,423,824,123,4,4,4,4,4,4
225,825,625,324,225,3,3,3,3,3,3
226,324,224,725,424,5,4,4,3,3,3
227,726,626,126,326,3,3,3,3,3,3
228,127,628,828,227,3,3,3,3,3,3
229,328,830,629,228,3,3,3,3,3,3
230,329,228,429,228,3,3,3,3,3,3
231,631,530,632,430,4,3,3,3,3,3
232,431,331,731,130,3,3,3,4,3,3
233,833,233,432,332,4,3,3,3,3,3
234,634,133,433,732,3,4,3,3,4,3
235,234,734,134,835,4,4,4,4,4,4
236,836,735,434,355,3,4,3,3,3,4
237,736,336,536,436,4,5,5,4,4,5
238,737,237,638,838,3,3,3,3,3,5
239,738,138,438,238,4,4,4,4,4,4
240,539,239,439,840,4,4,4,4,5,4
241,642,140,841,340,2,3,3,3,3,3
242,641,842,341,541,4,4,2,2,2,2
243,342,242,542,643,3,3,3,2,2,3
244,543,143,742,442,4,4,3,3,3,4
245,845,645,444,545,3,3,3,3,5,3
246,646,345,245,846,3,5,5,4,5,4
247,147,346,146,848,5,4,4,2,3,3
248,648,446,347,547,3,3,3,5,3,3
249,348,849,449,148,3,3,3,3,3,3
250,149,248,649,748,4,4,4,4,5,4
251,851,150,250,350,1,1,1,3,3,2
252,151,351,451,551,3,5,5,3,3,3
253,553,353,352,853,3,3,5,3,3,3
254,153,753,453,253,3,3,3,3,3,5
255,254,154,554,855,2,5,3,2,5,2
256,755,856,656,255,5,5,5,5,5,5
257,257,858,556,256,4,4,4,4,4,4
258,157,757,357,457,5,5,5,5,5,5
259,358,558,559,458,3,3,4,3,3,4
260,259,159,859,258,3,3,3,5,3,3
261,261,460,661,461,4,4,4,4,5,4
262,260,862,761,861,4,4,5,4,4,4
263,663,563,863,762,5,5,5,5,5,5
264,462,664,163,463,4,4,4,4,4,4
400,201,700,401,600,3,2,3,3,3,3
401,601,301,802,701,4,4,4,5,5,5
402,402,302,803,702,3,3,3,5,5,5
403,703,503,804,303,3,3,3,4,5,4
404,704,104,404,805,3,3,5,3,3,5
405,806,305,205,505,3,3,2,5,4,3
406,106,306,808,406,3,3,3,4,4,5
407,608,807,507,207,3,3,3,3,3,3
408,609,208,809,108,5,5,5,5,5,4
409,509,309,409,610,3,3,3,5,5,5
410,210,811,110,710,5,5,5,5,5,5
411,411,211,812,711,3,3,3,5,3,3
412,112,613,212,413,5,5,3,3,5,5
413,513,313,712,113,3,3,3,3,3,3
414,315,214,616,215,5,3,3,3,3,3
415,816,615,715,415,3,3,3,3,3,3
416,516,216,316,416,5,4,4,4,3,3
417,217,117,517,417,3,3,3,3,3,3
418,718,518,819,118,3,3,3,5,5,5
419,419,719,319,820,5,3,3,5,5,3
420,720,821,421,120,5,5,5,5,5,5
421,220,721,221,320,5,5,3,3,5,3
422,222,522,623,122,4,4,4,4,4,4
423,723,624,523,323,4,4,3,4,4,4
424,224,724,124,826,3,3,4,5,3,5
425,626,325,125,225,3,3,5,5,5,5
426,526,527,727,426,3,3,3,3,3,3
427,327,427,827,226,3,3,3,3,5,3
428,728,129,229,630,3,5,5,3,3,4
429,529,828,729,128,1,3,3,5,3,1
430,832,131,831,230,3,2,3,3,4,3
431,231,730,531,330,5,3,3,3,3,3
432,131,232,834,333,5,5,5,3,5,4
433,633,532,533,733,3,3,3,3,3,3
434,635,434,235,234,5,3,2,4,2,5
435,636,535,534,135,3,3,3,3,3,3
436,637,236,837,136,3,3,4,3,3,3
437,137,337,437,535,4,4,5,3,3,3
438,139,839,538,639,3,5,3,3,4,3
439,640,338,739,339,3,5,3,3,5,3
440,241,740,240,540,3,3,4,3,3,3
441,741,441,440,141,5,1,5,1,5,1
442,843,844,243,443,5,5,3,5,5,4
443,343,142,644,743,3,3,5,5,5,3
444,544,144,344,145,3,4,3,5,4,3
445,745,244,445,744,3,3,4,3,3,3
446,647,246,546,847,3,5,3,5,3,4
447,247,747,746,447,5,3,5,4,5,4
448,548,448,249,749,5,5,5,5,5,5
449,850,549,650,349,5,3,5,5,5,3
450,750,450,550,651,5,5,5,5,5,5
451,751,251,852,652,5,4,5,5,5,4
452,653,452,854,752,3,5,5,3,3,3
453,654,552,252,152,3,2,5,3,4,3
454,354,454,555,655,4,4,4,4,4,4
455,455,355,155,755,2,2,2,2,2,2
456,356,756,657,857,2,2,2,2,2,2
457,156,456,557,658,3,4,4,2,3,4
458,158,759,659,758,4,2,4,2,2,2
460,459,359,660,860,3,3,3,2,3,2
461,360,760,160,560,4,4,4,4,4,4
462,361,561,161,162,4,4,2,4,4,3
463,362,263,262,562,3,3,3,3,3,5
464,763,864,363,662,3,3,2,3,3,3
