Game ID,Player 1,Player 2,Player 3,Player 4,P1_P2,P1_P3,P1_P4,P2_P3,P2_P4,P3_P4
1,104,108,102,103,5,5,5,5,5,5
2,109,112,113,114,5,5,5,5,5,5
3,122,118,123,121,4,4,4,4,4,4
4,131,125,129,130,4,4,4,4,4,4
5,207,206,201,202,5,5,5,5,5,5
6,210,209,212,211,5,5,5,5,5,5
7,222,223,218,224,5,5,5,5,5,5
8,226,225,230,231,5,5,5,5,5,5
9,302,303,304,306,5,5,4,5,5,5
10,305,311,308,317,4,4,4,4,4,4
11,321,324,320,323,5,5,5,5,5,5
12,330,326,327,319,4,4,4,4,4,4
13,407,404,401,403,5,5,4,5,4,5
14,412,410,416,405,4,4,4,4,5,4
15,418,419,424,420,4,4,4,4,4,4
16,426,428,432,430,5,5,5,5,5,5
17,502,505,507,503,4,4,4,4,4,4
18,515,513,510,516,4,4,4,4,4,4
19,524,517,518,519,5,5,5,5,5,5
20,528,529,531,527,4,4,4,4,4,4
21,606,609,602,608,5,5,5,5,5,5
22,605,613,604,611,4,4,4,4,4,4
23,625,632,618,619,4,4,4,4,4,4
24,620,631,617,630,5,5,5,5,5,5
26,702,708,711,712,5,4,4,4,4,5
27,715,710,706,713,4,4,5,4,4,4
28,721,722,718,723,4,4,4,4,5,4
29,729,731,725,726,5,4,5,4,5,4
30,807,805,803,801,4,4,4,4,4,4
31,812,817,821,806,4,4,4,4,4,4
32,810,818,832,829,4,4,4,4,4,4
33,831,830,825,822,4,4,4,4,4,4
34,907,903,906,902,4,5,4,4,4,4
35,912,914,913,911,4,4,4,4,4,4
36,921,923,917,924,4,4,4,4,4,4
37,926,931,925,932,4,4,4,4,4,5
38,1001,1007,1005,1004,4,4,4,5,4,4
39,1010,1015,1006,1009,4,4,4,4,4,4
40,1021,1022,1019,1018,5,5,5,5,5,5
41,1031,1028,1027,1032,2,1,1,3,3,5
42,1116,1108,1104,1113,4,3,5,3,4,3
43,1107,1109,1114,1117,4,4,4,4,4,4
44,1120,1123,1121,1112,4,4,3,4,3,3
45,1128,1132,1119,1127,4,3,4,3,4,3
46,1208,1215,1216,1203,4,4,4,5,5,5
47,1205,1210,1211,1207,3,3,3,3,3,3
48,1221,1217,1228,1224,5,4,5,4,5,4
49,1225,1230,1222,1223,3,3,3,3,3,3
50,1307,1305,1315,1301,5,5,5,5,5,5
51,1312,1308,1314,1302,3,5,3,3,3,4
52,1327,1319,1321,1323,5,5,5,5,5,5
53,1328,1326,1325,1331,4,4,4,4,4,4
54,1409,1411,1413,1415,4,4,4,4,4,4
55,1412,1410,1408,1416,5,5,5,5,5,5
56,1430,1424,1429,1428,4,4,4,4,4,4
57,1426,1421,1427,1432,3,3,4,3,3,3
58,1513,1515,1509,1507,5,5,5,5,5,5
59,1511,1505,1501,1516,4,4,4,4,4,4
60,1527,1525,1519,1517,3,3,3,3,3,5
61,1530,1526,1520,1518,3,3,3,3,3,3
62,1607,1609,1611,1605,4,4,3,3,4,3
63,1620,1606,1615,1614,3,3,3,3,3,3
64,1601,1627,1623,1631,4,4,4,4,4,4
65,1621,1632,1613,1630,3,3,3,3,3,3
223,106,101,107,105,5,5,5,5,5,5
224,111,110,115,116,5,5,5,5,5,5
225,120,124,117,119,5,5,5,5,5,5
226,126,132,128,127,5,5,5,5,5,5
227,204,205,203,208,5,5,5,5,5,5
228,213,215,214,216,5,5,5,5,5,5
229,217,219,221,220,5,5,5,5,5,5
230,228,232,229,227,3,5,4,3,3,3
231,312,301,307,309,5,5,4,3,5,2
232,313,315,314,316,5,5,5,5,5,5
233,318,328,331,322,5,5,5,5,5,5
234,329,332,325,310,3,2,2,4,2,2
235,414,402,408,415,3,4,4,5,4,4
236,411,413,406,409,5,3,5,5,5,5
237,425,422,421,423,5,5,5,5,5,5
238,431,427,429,417,4,3,5,3,3,5
239,508,511,506,501,4,4,5,4,5,5
240,514,512,509,520,4,4,4,5,4,5
241,522,521,526,504,5,5,3,5,3,3
242,523,525,530,532,3,3,3,3,3,3
243,603,607,614,616,4,3,3,5,3,5
244,615,601,610,612,3,3,3,5,5,5
245,628,624,621,629,3,3,4,5,5,5
