,RespHOH_3,Rel1_1,Rel2_4,Education_3,Age_1,Gender_1,Rel3_2,RespHOH_1,Rounds,Rel1_4,subsidy,Education_1,Gender_3,country,Education_4,Rel2_2,envProduction,Education_2,Rel3_1,Rel3_3,Rel1_2,primary_farming_4,production,primary_farming_2,Rel2_3,Age_2,GameID,Gender_4,Rel2_1,Age_3,Gender_2,Rel1_3,Age_4,env,RespHOH_2,primary_farming_3,RespHOH_4,primary_farming_1,Rel3_4,Treatments
0,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,1,0.0,0.0,11.0,0.0,orkney,11.0,0.33,8160.0,12.0,0.33,0.33,0.66,1.0,120.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,68.0,1.0,1.0,1.0,1,1.0,T2
1,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,1,0.0,1.0,11.0,0.0,orkney,11.0,0.33,7680.0,12.0,0.33,0.33,0.66,1.0,120.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,64.0,1.0,1.0,1.0,1,1.0,T3
2,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,1,0.0,,11.0,0.0,orkney,11.0,0.33,,12.0,0.33,0.33,0.66,1.0,120.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,,1.0,1.0,1.0,1,1.0,T4
3,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,1,0.0,1.0,11.0,0.0,orkney,11.0,0.33,7440.0,12.0,0.33,0.33,0.66,1.0,120.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,62.0,1.0,1.0,1.0,1,1.0,T5
4,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,2,0.0,0.0,11.0,0.0,orkney,11.0,0.33,6528.0,12.0,0.33,0.33,0.66,1.0,68.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,96.0,1.0,1.0,1.0,1,1.0,T2
5,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,2,0.0,1.0,11.0,0.0,orkney,11.0,0.33,6708.0,12.0,0.33,0.33,0.66,1.0,78.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,86.0,1.0,1.0,1.0,1,1.0,T3
6,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,2,0.0,,11.0,0.0,orkney,11.0,0.33,,12.0,0.33,0.33,0.66,1.0,,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,,1.0,1.0,1.0,1,1.0,T4
7,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,2,0.0,1.0,11.0,0.0,orkney,11.0,0.33,6438.0,12.0,0.33,0.33,0.66,1.0,87.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,74.0,1.0,1.0,1.0,1,1.0,T5
8,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,3,0.0,0.0,11.0,0.0,orkney,11.0,0.33,4280.0,12.0,0.33,0.33,0.66,1.0,40.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,107.0,1.0,1.0,1.0,1,1.0,T2
9,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,3,0.0,1.0,11.0,0.0,orkney,11.0,0.33,5760.0,12.0,0.33,0.33,0.66,1.0,60.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,96.0,1.0,1.0,1.0,1,1.0,T3
10,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,3,0.0,,11.0,0.0,orkney,11.0,0.33,,12.0,0.33,0.33,0.66,1.0,,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,,1.0,1.0,1.0,1,1.0,T4
11,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,3,0.0,1.0,11.0,0.0,orkney,11.0,0.33,6120.0,12.0,0.33,0.33,0.66,1.0,68.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,90.0,1.0,1.0,1.0,1,1.0,T5
12,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,4,0.0,0.0,11.0,0.0,orkney,11.0,0.33,3335.0,12.0,0.33,0.33,0.66,1.0,29.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,115.0,1.0,1.0,1.0,1,1.0,T2
13,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,4,0.0,1.0,11.0,0.0,orkney,11.0,0.33,4257.0,12.0,0.33,0.33,0.66,1.0,43.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,99.0,1.0,1.0,1.0,1,1.0,T3
14,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,4,0.0,,11.0,0.0,orkney,11.0,0.33,,12.0,0.33,0.33,0.66,1.0,,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,,1.0,1.0,1.0,1,1.0,T4
15,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,4,0.0,1.0,11.0,0.0,orkney,11.0,0.33,4300.0,12.0,0.33,0.33,0.66,1.0,43.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,100.0,1.0,1.0,1.0,1,1.0,T5
16,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,5,0.0,0.0,11.0,0.0,orkney,11.0,0.33,2032.0,12.0,0.33,0.33,0.66,1.0,16.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,127.0,1.0,1.0,1.0,1,1.0,T2
17,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,5,0.0,1.0,11.0,0.0,orkney,11.0,0.33,3888.0,12.0,0.33,0.33,0.66,1.0,36.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,108.0,1.0,1.0,1.0,1,1.0,T3
18,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,5,0.0,,11.0,0.0,orkney,11.0,0.33,,12.0,0.33,0.33,0.66,1.0,,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,,1.0,1.0,1.0,1,1.0,T4
19,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,5,0.0,1.0,11.0,0.0,orkney,11.0,0.33,3190.0,12.0,0.33,0.33,0.66,1.0,29.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,110.0,1.0,1.0,1.0,1,1.0,T5
20,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,6,0.0,0.0,11.0,0.0,orkney,11.0,0.33,1353.0,12.0,0.33,0.33,0.66,1.0,11.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,123.0,1.0,1.0,1.0,1,1.0,T2
21,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,6,0.0,1.0,11.0,0.0,orkney,11.0,0.33,3094.0,12.0,0.33,0.33,0.66,1.0,26.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,119.0,1.0,1.0,1.0,1,1.0,T3
22,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,6,0.0,,11.0,0.0,orkney,11.0,0.33,,12.0,0.33,0.33,0.66,1.0,,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,,1.0,1.0,1.0,1,1.0,T4
23,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,6,0.0,1.0,11.0,0.0,orkney,11.0,0.33,2508.0,12.0,0.33,0.33,0.66,1.0,22.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,114.0,1.0,1.0,1.0,1,1.0,T5
24,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,7,0.0,0.0,11.0,0.0,orkney,11.0,0.33,1016.0,12.0,0.33,0.33,0.66,1.0,8.0,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,127.0,1.0,1.0,1.0,1,1.0,T2
25,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,7,0.0,,11.0,0.0,orkney,11.0,0.33,,12.0,0.33,0.33,0.66,1.0,,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,,1.0,1.0,1.0,1,1.0,T3
26,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,7,0.0,,11.0,0.0,orkney,11.0,0.33,,12.0,0.33,0.33,0.66,1.0,,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,,1.0,1.0,1.0,1,1.0,T4
27,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,7,0.0,,11.0,0.0,orkney,11.0,0.33,,12.0,0.33,0.33,0.66,1.0,,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,,1.0,1.0,1.0,1,1.0,T5
28,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,8,0.0,,11.0,0.0,orkney,11.0,0.33,,12.0,0.33,0.33,0.66,1.0,,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,,1.0,1.0,1.0,1,1.0,T2
29,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,8,0.0,,11.0,0.0,orkney,11.0,0.33,,12.0,0.33,0.33,0.66,1.0,,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,,1.0,1.0,1.0,1,1.0,T3
30,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,8,0.0,,11.0,0.0,orkney,11.0,0.33,,12.0,0.33,0.33,0.66,1.0,,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,,1.0,1.0,1.0,1,1.0,T4
31,1.0,0.66,0.0,15.0,52.0,0.0,0.33,1.0,8,0.0,,11.0,0.0,orkney,11.0,0.33,,12.0,0.33,0.33,0.66,1.0,,1.0,0.33,38.0,10ORK,0.0,0.66,60.0,0.0,0.33,65.0,,1.0,1.0,1.0,1,1.0,T5
32,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,1,0.66,0.0,11.0,0.0,orkney,11.0,1.0,9960.0,15.0,0.33,0.66,1.0,1.0,120.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,83.0,1.0,1.0,1.0,1,0.66,T2
33,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,1,0.66,1.0,11.0,0.0,orkney,11.0,1.0,10080.0,15.0,0.33,0.66,1.0,1.0,120.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,84.0,1.0,1.0,1.0,1,0.66,T3
34,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,1,0.66,0.0,11.0,0.0,orkney,11.0,1.0,11520.0,15.0,0.33,0.66,1.0,1.0,120.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,96.0,1.0,1.0,1.0,1,0.66,T4
35,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,1,0.66,1.0,11.0,0.0,orkney,11.0,1.0,6720.0,15.0,0.33,0.66,1.0,1.0,120.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,56.0,1.0,1.0,1.0,1,0.66,T5
36,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,2,0.66,0.0,11.0,0.0,orkney,11.0,1.0,8342.0,15.0,0.33,0.66,1.0,1.0,97.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,86.0,1.0,1.0,1.0,1,0.66,T2
37,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,2,0.66,1.0,11.0,0.0,orkney,11.0,1.0,8720.0,15.0,0.33,0.66,1.0,1.0,109.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,80.0,1.0,1.0,1.0,1,0.66,T3
38,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,2,0.66,0.0,11.0,0.0,orkney,11.0,1.0,10379.0,15.0,0.33,0.66,1.0,1.0,107.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,97.0,1.0,1.0,1.0,1,0.66,T4
39,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,2,0.66,1.0,11.0,0.0,orkney,11.0,1.0,7700.0,15.0,0.33,0.66,1.0,1.0,110.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,70.0,1.0,1.0,1.0,1,0.66,T5
40,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,3,0.66,0.0,11.0,0.0,orkney,11.0,1.0,7878.0,15.0,0.33,0.66,1.0,1.0,78.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,101.0,1.0,1.0,1.0,1,0.66,T2
41,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,3,0.66,1.0,11.0,0.0,orkney,11.0,1.0,8568.0,15.0,0.33,0.66,1.0,1.0,102.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,84.0,1.0,1.0,1.0,1,0.66,T3
42,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,3,0.66,0.0,11.0,0.0,orkney,11.0,1.0,9810.0,15.0,0.33,0.66,1.0,1.0,90.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,109.0,1.0,1.0,1.0,1,0.66,T4
43,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,3,0.66,1.0,11.0,0.0,orkney,11.0,1.0,7742.0,15.0,0.33,0.66,1.0,1.0,98.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,79.0,1.0,1.0,1.0,1,0.66,T5
